name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
PRIMALC8,SCS,optimal,0.736951661,20325,-18325.337569514748,-18309.43,520,528,5199,0.001993253,0.734958408
QSHARE2B,SCS,optimal,0.9261322209999999,112625,11699.55875650472,11703.692,79,175,873,0.000524409,0.925607812
MOSARQP1,SCS,optimal,0.037648874000000006,200,-952.8745126296037,-952.87544,2500,3200,8512,0.005345949,0.032302925
AUG2D,SCS,optimal,0.095794884,25,1687410.657211984,1687411.8,20200,30200,80000,0.051196466,0.044598418
HS53,SCS,optimal,9.333200000000001e-05,25,4.093023235119776,4.0930233,5,8,21,5.5551000000000004e-05,3.7781e-05
CVXQP2_S,SCS,optimal,0.002160175,225,8120.613504813035,8120.9405,100,125,846,0.000407566,0.001752609
DTOC3,SCS,optimal,0.332724834,325,232.65172857676782,235.26248,14999,24997,64989,0.030822520000000003,0.301902314
DPKLO1,SCS,optimal,0.001353823,25,0.3700962176684233,0.37009622,133,210,1785,0.000905605,0.000448218
QSHELL,SCS,optimal,0.107235194,425,1377715073265.5425,1572636800000.0,1775,2311,74506,0.014267806000000001,0.092967388
CONT-200,SCS,solver_error,97.886017371,5675,-4.6850098238802875,-4.6848759,40397,79998,278799,0.631761961,97.25425541
CVXQP1_M,SCS,optimal,0.457912376,2200,1087519.8872420795,1087511.6,1000,1500,9466,0.010498114,0.447414262
POWELL20,SCS,time_limit,1000.0360743680001,1449200,inf,52089583000.0,10000,20000,40000,0.022609514,1000.0134648540001
QRECIPE,SCS,optimal,0.003411557,225,-266.6164109594121,-266.616,180,271,923,0.0006314809999999999,0.0027800760000000002
QSCFXM2,SCS,optimal,0.698352642,8025,16698024.67679422,27776162.0,914,1574,8285,0.004921671,0.6934309710000001
QETAMACR,SCS,optimal,1.707304603,12225,86138.44978251871,86760.37,688,1088,11613,0.007177628,1.700126975
HS35,SCS,optimal,0.00018390300000000002,100,0.11110627915022242,0.11111111,3,4,13,5.3551e-05,0.000130352
QGFRDXPN,SCS,optimal,49.87259568899999,831175,1996826407.8431377,100790590000.0,1092,1708,3739,0.0028564880000000003,49.869739200999994
QE226,SCS,optimal,0.187820137,5775,212.3302689675334,212.65343,282,505,4721,0.0019804230000000003,0.185839714
LISWET12,SCS,optimal,0.20331981300000002,225,24.986443169282666,1736.9274,10002,20002,50004,0.023482068000000002,0.17983774500000002
CVXQP3_M,SCS,optimal,0.5506235890000001,2325,1362826.4776681396,1362828.7,1000,1750,10215,0.012836503,0.537787086
STCQP1,SCS,solver_error,0.493005006,1225,155127.02450840874,155143.56,4097,6149,66544,0.021681149,0.471323857
QSCSD1,SCS,optimal,0.015883882000000002,325,8.666711841530674,8.6666667,760,837,4584,0.00241613,0.013467752000000001
LISWET10,SCS,optimal,0.208116102,225,24.98926551017621,49.485785,10002,20002,50004,0.02418868,0.183927422
HUES-MOD,SCS,optimal,0.08566247799999999,150,34824403.33432604,34824690.0,10000,10002,40000,0.017499590000000002,0.06816288799999999
CVXQP2_M,SCS,optimal,0.291667365,1700,820172.1463854222,820155.43,1000,1250,8717,0.007501344,0.284166021
DUALC1,SCS,optimal,0.002102385,175,6154.912312747538,6155.2508,9,224,2025,0.00059299,0.0015093950000000002
QSCTAP2,SCS,optimal,0.08241599399999999,550,1735.038260666677,1735.0265,1880,2970,10007,0.006090352,0.076325642
GOULDQP2,SCS,solver_error,0.172832358,4200,0.00018408330514780013,0.00018427534,699,1048,2791,0.001530855,0.171301503
CVXQP1_S,SCS,optimal,0.004573766,475,11590.838967217778,11590.718,100,150,920,0.000461157,0.004112609
QSCFXM3,SCS,optimal,0.650482791,4825,15926729.26773085,30816355.0,1371,2361,11501,0.006877224,0.6436055669999999
STADAT3,SCS,optimal,807.5824707109999,2092200,-35.77584360530779,-35.779453,4001,12000,27998,0.013096756,807.569373955
CONT-201,SCS,optimal,171.154345282,9200,0.19232080288262698,0.19248337,40397,80595,249996,1.3427355029999999,169.811609779
AUG3DQP,SCS,optimal,0.058766770999999995,175,675.2332547657961,675.23767,3873,4873,13092,0.010135227,0.048631544
EXDATA,SCS,optimal,3.227294678,500,-141.7926716786453,-141.84343,3000,6001,2260500,1.253418835,1.973875843
QPCSTAIR,SCS,optimal,2.0750903960000002,42275,6203716.851362042,6204387.5,467,823,4790,0.0027255639999999998,2.0723648320000003
BOYD2,SCS,time_limit,1000.406164695,106375,824.6756556599945,21.256767,93263,279794,517049,0.384762125,1000.0214025700001
QBEACONF,SCS,optimal,0.010548285000000001,325,164763.37546802318,164712.06,262,435,3673,0.001889411,0.008658874
AUG2DCQP,SCS,optimal,2.8766953290000004,1550,6498082.471997116,6498134.8,20200,30200,80400,0.055015230000000005,2.8216800990000004
PRIMAL4,SCS,optimal,0.023426568000000002,50,-0.7460419226560461,-0.74609083,1489,1564,19008,0.017677223000000002,0.005749345
HS35MOD,SCS,optimal,8.694e-05,25,0.25000257407568327,0.25,3,4,13,5.144e-05,3.5499999999999996e-05
HS76,SCS,optimal,0.000129682,100,-4.6837507530639,-4.6818182,4,7,22,5.2381e-05,7.7301e-05
