name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
POWELL20,MOSEK,optimal,0.15502944588661194,7,52089582813.55157,52089583000.0,10000,20000,40000
QRECIPE,MOSEK,optimal,0.002993442118167877,15,-266.6159701599006,-266.616,180,271,923
QSCFXM2,MOSEK,optimal,0.06084941327571869,33,27775662.612978943,27776162.0,914,1574,8285
QETAMACR,MOSEK,optimal,0.03922756761312485,16,86760.42299882075,86760.37,688,1088,11613
HS35,MOSEK,optimal,0.00114363431930542,6,0.11111111234336057,0.11111111,3,4,13
QGFRDXPN,MOSEK,solver_error,0.015658635646104813,,,100790590000.0,1092,1708,3739
QE226,MOSEK,optimal,0.021084628999233246,19,212.6537447328058,212.65343,282,505,4721
LISWET12,MOSEK,optimal,0.5827213674783707,43,1736.927150276049,1736.9274,10002,20002,50004
CVXQP3_M,MOSEK,solver_error,0.2564579136669636,16,1359837.360568953,1362828.7,1000,1750,10215
STCQP1,MOSEK,optimal,0.05111236497759819,13,155143.89153884002,155143.56,4097,6149,66544
QSCSD1,MOSEK,optimal,0.006575159728527069,9,8.66666667369065,8.6666667,760,837,4584
LISWET10,MOSEK,solver_error,0.26842670887708664,18,25.004777003091476,49.485785,10002,20002,50004
HUES-MOD,MOSEK,solver_error,0.06821531429886818,12,34824688.122820355,34824690.0,10000,10002,40000
CVXQP2_M,MOSEK,optimal,0.13884612545371056,10,820161.9288401073,820155.43,1000,1250,8717
DUALC1,MOSEK,optimal,0.0019365064799785614,15,6157.550158381788,6155.2508,9,224,2025
QSCTAP2,MOSEK,optimal,0.044226132333278656,12,1735.0260432810546,1735.0265,1880,2970,10007
GOULDQP2,MOSEK,optimal,0.017250169068574905,14,0.00018427475111515434,0.00018427534,699,1048,2791
CVXQP1_S,MOSEK,optimal,0.00447622686624527,14,11590.71831026559,11590.718,100,150,920
QSCFXM3,MOSEK,optimal,0.10472143441438675,38,30816053.42392262,30816355.0,1371,2361,11501
STADAT3,MOSEK,optimal,0.16459016874432564,22,-35.77805592150028,-35.779453,4001,12000,27998
CONT-201,MOSEK,optimal,2.0443515703082085,10,0.19248339164153427,0.19248337,40397,80595,249996
AUG3DQP,MOSEK,optimal,0.04978754371404648,11,675.2345295588398,675.23767,3873,4873,13092
EXDATA,MOSEK,optimal,21.927918151021004,10,-141.8335755410194,-141.84343,3000,6001,2260500
QPCSTAIR,MOSEK,optimal,0.0367124117910862,21,6204170.778074433,6204387.5,467,823,4790
BOYD2,MOSEK,optimal,4.12019607424736,34,21.256862664710816,21.256767,93263,279794,517049
QBEACONF,MOSEK,optimal,0.004329722374677658,15,164712.06055141834,164712.06,262,435,3673
AUG2DCQP,MOSEK,optimal,0.33848071098327637,11,6496659.064339077,6498134.8,20200,30200,80400
PRIMAL4,MOSEK,optimal,0.01626921072602272,9,-0.7460908047132309,-0.74609083,1489,1564,19008
HS35MOD,MOSEK,optimal,0.0012475810945034027,12,0.2500000473201265,0.25,3,4,13
HS76,MOSEK,optimal,0.0012238621711730957,5,-4.681818181258111,-4.6818182,4,7,22
LISWET3,MOSEK,optimal,0.26491113007068634,18,25.001949810386805,25.00122,10002,20002,50004
QSCTAP3,MOSEK,optimal,0.04816544055938721,13,1438.7546751235916,1438.7547,2480,3960,13262
LASER,MOSEK,solver_error,0.030993424355983734,11,2409583.089582827,2409601.4,1002,2002,9462
QGROW15,MOSEK,optimal,0.023235850036144257,21,-101693566.9595796,-101693640.0,645,945,7227
QSCFXM1,MOSEK,optimal,0.024841483682394028,20,16882669.43718882,16882692.0,457,787,4456
STADAT1,MOSEK,solver_error,0.15087492763996124,23,-28522505.905789737,-28526864.0,2001,6000,13998
QSCTAP1,MOSEK,optimal,0.011355780065059662,18,1415.8582305480288,1415.8611,480,780,2442
QADLITTL,MOSEK,optimal,0.0029448233544826508,11,480318.39700292354,480318.86,97,153,637
QSCRS8,MOSEK,optimal,0.014918770641088486,28,904.5580419971091,904.56001,1169,1659,4560
HS268,MOSEK,optimal,0.0013529807329177856,11,0.0003312817570986226,5.7310705e-07,5,10,55
LOTSCHD,MOSEK,optimal,0.0013716593384742737,12,2398.4158915330513,2398.4159,12,19,72
GENHS28,MOSEK,optimal,0.0011517032980918884,3,0.927173693766391,0.92717369,10,18,62
VALUES,MOSEK,solver_error,,,,-1.3966211,202,203,7846
