name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
QFFFFF80,OSQP,optimal,0.356868308,4750,910822.957345506,873147.47,854,1378,10635,0,0.003953916,0.352914392,0.0,2
LISWET11,OSQP,optimal,0.043136473,75,24.983888165564622,49.523957,10002,20002,50004,0,0.012940194,0.030196279,0.0,1
AUG3D,OSQP,optimal,0.011102934,25,553.8985969218047,554.06773,3873,4873,13092,0,0.007091377,0.004011557,0.0,0
PRIMAL2,OSQP,optimal,0.005243026,25,-0.03373631857803941,-0.033733676,649,745,9339,0,0.004322291,0.000920735,0.0,0
KSIP,OSQP,optimal,0.0058906570000000005,100,0.5752803017460719,0.57579794,20,1021,19938,0,0.001671327,0.00421933,0.0,0
PRIMALC1,OSQP,optimal,0.745751455,70925,-2505.8581542921856,-6155.2508,230,239,2529,0,0.000371076,0.745380379,0.0,215
PRIMALC8,OSQP,time_limit,1000.000019941,47161750,-1303389.519662665,-18309.43,520,528,5199,0,0.000720262,999.999299679,0.0,72856
QSHARE2B,OSQP,optimal,4.3063443800000005,889775,11704.057225081668,11703.692,79,175,873,0,0.000301405,4.306042975,0.0,385
MOSARQP1,OSQP,optimal,0.018053118,175,-952.8788235422231,-952.87544,2500,3200,8512,0,0.00304598,0.015007138,0.0,1
AUG2D,OSQP,optimal,0.05387766,25,1685987.166403508,1687411.8,20200,30200,80000,0,0.030656226,0.023221434,0.0,0
HS53,OSQP,optimal,3.2661e-05,25,4.093025861479699,4.0930233,5,8,21,0,2.1971e-05,1.069e-05,0.0,0
CVXQP2_S,OSQP,optimal,0.000518638,50,8120.885308158987,8120.9405,100,125,846,0,0.000257774,0.000260864,0.0,1
DTOC3,OSQP,optimal,0.041761809999999996,50,128.42008086566656,235.26248,14999,24997,64989,0,0.015526167,0.026235643,0.0,1
DPKLO1,OSQP,optimal,0.001298661,50,0.3700962176615045,0.37009622,133,210,1785,0,0.000544049,0.000754612,0.0,1
QSHELL,OSQP,optimal,0.28078146000000004,1775,1572733188707.4116,1572636800000.0,1775,2311,74506,0,0.011270806,0.269510654,0.0,1
CONT-200,OSQP,optimal,708.7544356469999,53100,-4.656597006899581,-4.6848759,40397,79998,278799,0,0.747260669,708.007174978,0.0,66
CVXQP1_M,OSQP,optimal,0.125939662,375,1087508.8599488183,1087511.6,1000,1500,9466,0,0.01695702,0.108982642,0.0,2
POWELL20,OSQP,optimal,8.297104675,19850,45423763923.775734,52089583000.0,10000,20000,40000,0,0.011592092,8.285512583,0.0,2
QRECIPE,OSQP,optimal,0.0016543780000000002,200,-266.6196372619314,-266.616,180,271,923,0,0.000302525,0.001351853,0.0,1
QSCFXM2,OSQP,optimal,0.678332521,13075,25319001.84099443,27776162.0,914,1574,8285,0,0.003102602,0.675229919,0.0,3
QETAMACR,OSQP,optimal,1.584624659,13350,80922.29886248354,86760.37,688,1088,11613,0,0.006103491,1.578521168,0.0,8
HS35,OSQP,optimal,2.8800000000000002e-05,25,0.11110913786817456,0.11111111,3,4,13,0,1.91e-05,9.7e-06,0.0,0
QGFRDXPN,OSQP,optimal,0.169271748,5900,100754655183.01761,100790590000.0,1092,1708,3739,0,0.001486045,0.167785703,0.0,1
QE226,OSQP,optimal,0.092585501,4225,212.8436809795931,212.65343,282,505,4721,0,0.001236661,0.09134884,0.0,1
LISWET12,OSQP,optimal,0.042056704,75,24.983574120953563,1736.9274,10002,20002,50004,0,0.011870336,0.030186368,0.0,1
CVXQP3_M,OSQP,optimal,0.509979588,1925,1362828.5871696703,1362828.7,1000,1750,10215,0,0.011396828,0.49858276,0.0,4
