name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QRECIPE,QPALM_high,optimal,0.003063531,34,-266.61600015077795,-266.616,180,271,923
QSCFXM2,QPALM_high,optimal,0.229183741,376,27776161.581093427,27776162.0,914,1574,8285
QETAMACR,QPALM_high,optimal,0.260710607,240,86760.36962593283,86760.37,688,1088,11613
HS35,QPALM_high,optimal,4.5681e-05,9,0.11111111111068261,0.11111111,3,4,13
QGFRDXPN,QPALM_high,optimal,0.170703146,392,100790584870.41954,100790590000.0,1092,1708,3739
QE226,QPALM_high,optimal,0.045344996,213,212.6534326259708,212.65343,282,505,4721
LISWET12,QPALM_high,optimal,137.228002667,63630,1677.7887945033508,1736.9274,10002,20002,50004
CVXQP3_M,QPALM_high,optimal,0.389390619,118,1362828.7294657875,1362828.7,1000,1750,10215
STCQP1,QPALM_high,optimal,0.247910981,57,155143.55469999823,155143.56,4097,6149,66544
QSCSD1,QPALM_high,optimal,0.028054137,106,8.666666672163776,8.6666667,760,837,4584
LISWET10,QPALM_high,optimal,478.62906772900004,184397,49.1875851814757,49.485785,10002,20002,50004
HUES-MOD,QPALM_high,optimal,0.044904706,26,34824463.87326899,34824690.0,10000,10002,40000
CVXQP2_M,QPALM_high,optimal,0.15545123500000002,68,820155.4310077846,820155.43,1000,1250,8717
DUALC1,QPALM_high,optimal,0.001040727,25,6155.150769464373,6155.2508,9,224,2025
QSCTAP2,QPALM_high,optimal,0.15242762399999998,154,1735.0264975986438,1735.0265,1880,2970,10007
GOULDQP2,QPALM_high,optimal,0.014211105,59,0.00018427450315974773,0.00018427534,699,1048,2791
CVXQP1_S,QPALM_high,optimal,0.002528892,43,11590.718119303812,11590.718,100,150,920
QSCFXM3,QPALM_high,optimal,0.430063188,470,30816354.617930636,30816355.0,1371,2361,11501
STADAT3,QPALM_high,optimal,1.548472348,625,-35.779452952522995,-35.779453,4001,12000,27998
CONT-201,QPALM_high,optimal,142.884133407,263,0.19248823409469112,0.19248337,40397,80595,249996
AUG3DQP,QPALM_high,optimal,0.100285057,44,675.2376711920616,675.23767,3873,4873,13092
EXDATA,QPALM_high,optimal,16.543475194,271,-141.84343218932884,-141.84343,3000,6001,2260500
QPCSTAIR,QPALM_high,optimal,0.05413233,194,6204387.476082513,6204387.5,467,823,4790
BOYD2,QPALM_high,time_limit,1000.035837177,20751,21.2569946602596,21.256767,93263,279794,517049
QBEACONF,QPALM_high,optimal,0.014751954,79,164712.0601474589,164712.06,262,435,3673
AUG2DCQP,QPALM_high,optimal,0.520859132,57,6498134.739177672,6498134.8,20200,30200,80400
PRIMAL4,QPALM_high,optimal,0.034026435,40,-0.7460908418956494,-0.74609083,1489,1564,19008
HS35MOD,QPALM_high,optimal,3.7121e-05,7,0.2500000003273648,0.25,3,4,13
HS76,QPALM_high,optimal,5.8371e-05,14,-4.681818175268743,-4.6818182,4,7,22
LISWET3,QPALM_high,optimal,1.77673544,378,25.001219103421022,25.00122,10002,20002,50004
QSCTAP3,QPALM_high,optimal,0.213578414,151,1438.7546808821855,1438.7547,2480,3960,13262
LASER,QPALM_high,optimal,0.036857542,78,2409601.3567795786,2409601.4,1002,2002,9462
QGROW15,QPALM_high,time_limit,1000.0002206209999,5408711,-101693640.46826547,-101693640.0,645,945,7227
QSCFXM1,QPALM_high,optimal,0.09465442,323,16882691.559013832,16882692.0,457,787,4456
STADAT1,QPALM_high,optimal,1.4347156879999998,1130,-28526864.044946264,-28526864.0,2001,6000,13998
QSCTAP1,QPALM_high,optimal,0.05494484,246,1415.8611112408194,1415.8611,480,780,2442
QADLITTL,QPALM_high,optimal,0.004723776999999999,105,480318.8585462629,480318.86,97,153,637
QSCRS8,QPALM_high,optimal,0.23672246600000002,393,904.5600134837207,904.56001,1169,1659,4560
HS268,QPALM_high,optimal,7.4752e-05,13,-1.2732925824820995e-11,5.7310705e-07,5,10,55
LOTSCHD,QPALM_high,optimal,0.000214293,34,2398.4158914302425,2398.4159,12,19,72
GENHS28,QPALM_high,optimal,8.1472e-05,8,0.9271736940085242,0.92717369,10,18,62
VALUES,QPALM_high,optimal,0.004539845,43,-1.396621153203069,-1.3966211,202,203,7846
UBH1,QPALM_high,optimal,1.028889145,216,1.1160097335136405,1.1160008,18009,30009,72012
QSCORPIO,QPALM_high,optimal,0.017315208,84,1880.5095531064826,1880.5096,358,746,1842
QSCSD6,QPALM_high,optimal,0.12751861499999997,257,50.8082138980784,50.808214,1350,1497,8378
LISWET5,QPALM_high,optimal,1.839621421,380,25.034250848637384,25.034253,10002,20002,50004
QSTAIR,QPALM_high,optimal,0.116098177,333,7985452.756288974,7985452.8,467,823,6293
QSHIP04S,QPALM_high,optimal,0.184424259,331,2424993.6707474547,2424993.7,1458,1860,5908
LISWET2,QPALM_high,time_limit,1000.000763743,551270,24.998040671272975,24.998076,10002,20002,50004
HS118,QPALM_high,optimal,0.000322936,33,664.8204499872849,664.82045,15,32,69
MOSARQP2,QPALM_high,optimal,0.010345581999999999,31,-1597.4821175171246,-1597.4821,900,1500,4820
GOULDQP3,QPALM_high,optimal,0.010101068,40,2.0627839710141416,2.062784,699,1048,3838
DUALC5,QPALM_high,optimal,0.000770662,15,427.23230651333205,427.23233,8,286,2296
ZECEVIC2,QPALM_high,optimal,4.1071e-05,5,-4.125000000185003,-4.125,2,4,7
QSHIP08L,QPALM_high,optimal,1.394278067,376,2376040.6132248775,2376040.6,4283,5061,86075
QFORPLAN,QPALM_high,optimal,0.147387873,615,7456631459.95288,7456631500.0,421,582,6112
CONT-101,QPALM_high,optimal,5.712548882,128,0.1955276253038571,0.19552733,10197,20295,62496
AUG2DC,QPALM_high,optimal,0.164603237,18,1818368.0612225547,1818368.1,20200,30200,80400
LISWET6,QPALM_high,optimal,9.034478105,2047,24.995746211571714,24.995748,10002,20002,50004
QPILOTNO,QPALM_high,optimal,2.107869233,1067,4728586.8946384685,4728586.9,2172,3147,16105
STADAT2,QPALM_high,optimal,0.5134375870000001,449,-32.62666534249721,-32.626665,2001,6000,13998
BOYD1,QPALM_high,time_limit,1000.010051225,36104,-61735219.641218975,-61735220.0,93261,93279,745507
PRIMALC5,QPALM_high,optimal,0.001313702,14,-427.23232677639584,-427.23233,287,295,2869
QGROW22,QPALM_high,time_limit,1000.000121815,2929685,-149628953.47137576,-149628950.0,946,1386,10837
PRIMAL3,QPALM_high,optimal,0.033766318999999996,40,-0.135755836864362,-0.13575584,745,856,23036
CVXQP1_L,QPALM_high,optimal,697.000280033,1297,108704798.83440314,108704800.0,10000,15000,94966
QPCBOEI1,QPALM_high,optimal,0.025611444,111,11503913.986092087,11503914.0,384,735,4253
QBORE3D,QPALM_high,optimal,0.022515529000000003,129,3100.2008018575257,3100.2008,315,548,1872
QCAPRI,QPALM_high,optimal,0.14769574500000002,662,66793287.39643898,66793293.0,353,624,3852
CONT-300,QPALM_high,optimal,750.867046487,357,0.19151727763077228,0.19151232,90597,180895,562496
QSC205,QPALM_high,optimal,0.0044030860000000005,43,-0.005813953477769958,-0.0058139518,203,408,785
CONT-050,QPALM_high,optimal,0.051938686,16,-4.563850910867312,-4.5638509,2597,4998,17199
S268,QPALM_high,optimal,6.9381e-05,13,-1.2732925824820995e-11,5.7310705e-07,5,10,55
HS52,QPALM_high,optimal,5.5641e-05,11,5.326647564498492,5.3266476,5,8,21
