name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
PRIMAL2,SCS_high,optimal,0.01334215,125,-0.03373367612846498,-0.033733676,649,745,9339,0.006083697,0.007258453000000001
KSIP,SCS_high,optimal,517.8589456950001,9158850,0.5757979412401262,0.57579794,20,1021,19938,0.002488791,517.8564569040001
PRIMALC1,SCS_high,optimal,0.20589323499999998,12200,-6155.250819722829,-6155.2508,230,239,2529,0.0009606160000000001,0.20493261899999998
PRIMALC8,SCS_high,optimal,0.7533400060000001,21025,-18309.429762262247,-18309.43,520,528,5199,0.001986883,0.751353123
QSHARE2B,SCS_high,optimal,6.317373822,788000,11703.691718512015,11703.692,79,175,873,0.000560488,6.316813334000001
MOSARQP1,SCS_high,optimal,0.11941742100000001,725,-952.8754430320995,-952.87544,2500,3200,8512,0.00518106,0.11423636100000001
AUG2D,SCS_high,optimal,0.150867313,50,1687411.7528964547,1687411.8,20200,30200,80000,0.055932233,0.09493508
HS53,SCS_high,optimal,0.00011360000000000001,50,4.093023255813955,4.0930233,5,8,21,6.597000000000001e-05,4.763e-05
CVXQP2_S,SCS_high,optimal,0.003027739,350,8120.940477250964,8120.9405,100,125,846,0.000407508,0.002620231
DTOC3,SCS_high,optimal,4.0259185330000005,4250,235.262481184593,235.26248,14999,24997,64989,0.030659366,3.9952591670000004
DPKLO1,SCS_high,optimal,0.001722363,50,0.37009621711427265,0.37009622,133,210,1785,0.000890656,0.000831707
QSHELL,SCS_high,time_limit,1000.0156105809999,4978225,1377804239343.1113,1572636800000.0,1775,2311,74506,0.013898458,1000.001712123
CONT-200,SCS_high,time_limit,1001.1446272239999,32575,-4.684875729717638,-4.6848759,40397,79998,278799,0.669795037,1000.474832187
CVXQP1_M,SCS_high,optimal,0.9696018630000001,4825,1087511.5672977876,1087511.6,1000,1500,9466,0.010338982,0.959262881
POWELL20,SCS_high,time_limit,1000.034277664,1157300,inf,52089583000.0,10000,20000,40000,0.02205593,1000.012221734
QRECIPE,SCS_high,optimal,0.004781993,350,-266.61599999705015,-266.616,180,271,923,0.000616758,0.004165235
QSCFXM2,SCS_high,time_limit,1000.006204011,12082725,27776161.384773817,27776162.0,914,1574,8285,0.004799892,1000.001404119
QETAMACR,SCS_high,optimal,53.375370154,391825,86760.3695032555,86760.37,688,1088,11613,0.007116074,53.36825408
HS35,SCS_high,optimal,0.000214989,175,0.11111111406309959,0.11111111,3,4,13,6.203e-05,0.000152959
QGFRDXPN,SCS_high,time_limit,1000.0038367860001,16251975,100227672987.01355,100790590000.0,1092,1708,3739,0.00270805,1000.001128736
QE226,SCS_high,time_limit,1000.0024146810001,31022450,212.64044175009596,212.65343,282,505,4721,0.001941093,1000.0004735880001
LISWET12,SCS_high,time_limit,1000.0310683130001,1139350,25.00020043428094,1736.9274,10002,20002,50004,0.022373226,1000.0086950870001
CVXQP3_M,SCS_high,optimal,1.8943219240000002,8550,1362828.7416053454,1362828.7,1000,1750,10215,0.012665768999999999,1.8816561550000002
STCQP1,SCS_high,optimal,0.584731471,1450,155143.5547041133,155143.56,4097,6149,66544,0.021728301,0.56300317
QSCSD1,SCS_high,optimal,0.024833683000000002,550,8.666666675201643,8.6666667,760,837,4584,0.002318453,0.02251523
LISWET10,SCS_high,time_limit,1000.034175652,1134500,25.003231939789202,49.485785,10002,20002,50004,0.023625236,1000.010550416
HUES-MOD,SCS_high,optimal,0.10164732100000001,200,34824463.87401416,34824690.0,10000,10002,40000,0.016325191,0.08532213000000001
CVXQP2_M,SCS_high,optimal,0.40261804700000003,1925,820155.4310341992,820155.43,1000,1250,8717,0.007365188,0.395252859
DUALC1,SCS_high,optimal,0.002548692,225,6155.2508290885335,6155.2508,9,224,2025,0.000608988,0.0019397040000000002
QSCTAP2,SCS_high,optimal,0.166358368,1175,1735.0264977181507,1735.0265,1880,2970,10007,0.005996022,0.16036234600000002
GOULDQP2,SCS_high,optimal,0.438574463,10875,0.00018427450400818082,0.00018427534,699,1048,2791,0.001484896,0.437089567
CVXQP1_S,SCS_high,optimal,0.006404992,700,11590.718119556277,11590.718,100,150,920,0.00047007900000000004,0.005934913
QSCFXM3,SCS_high,time_limit,1000.0084950290001,7878600,30816353.352707118,30816355.0,1371,2361,11501,0.006959371,1000.0015356580001
STADAT3,SCS_high,time_limit,1000.0186179200001,2382300,-35.77272652488367,-35.779453,4001,12000,27998,0.012687374999999999,1000.0059305450001
CONT-201,SCS_high,time_limit,1001.63252011,26200,0.19250282434859944,0.19248337,40397,80595,249996,0.894082265,1000.738437845
AUG3DQP,SCS_high,optimal,0.070756205,225,675.2376712582077,675.23767,3873,4873,13092,0.009707808,0.061048397000000004
EXDATA,SCS_high,optimal,8.058589822,2150,-141.84343109780477,-141.84343,3000,6001,2260500,1.0293269029999998,7.029262919
QPCSTAIR,SCS_high,optimal,2.0889949959999994,42625,6204387.470482036,6204387.5,467,823,4790,0.0026987960000000003,2.0862961999999996
BOYD2,SCS_high,time_limit,1000.685281899,53750,2035.2292699312916,21.256767,93263,279794,517049,0.377997749,1000.30728415
QBEACONF,SCS_high,optimal,0.121223303,4825,164712.06017988775,164712.06,262,435,3673,0.001908568,0.119314735
AUG2DCQP,SCS_high,optimal,2.861345319,1675,6498134.739368293,6498134.8,20200,30200,80400,0.052288629999999996,2.809056689
PRIMAL4,SCS_high,optimal,0.029184383,100,-0.7460908443965426,-0.74609083,1489,1564,19008,0.018000753,0.011183630000000002
HS35MOD,SCS_high,optimal,0.00022365,175,0.24999999999782752,0.25,3,4,13,5.954e-05,0.00016411
HS76,SCS_high,optimal,0.00025298,175,-4.681818191935479,-4.6818182,4,7,22,6.787e-05,0.00018511
LISWET3,SCS_high,time_limit,1000.032497416,1155250,25.001089416921786,25.00122,10002,20002,50004,0.023874312,1000.008623104
QSCTAP3,SCS_high,optimal,0.147519257,725,1438.7546811064713,1438.7547,2480,3960,13262,0.00811396,0.13940529699999998
LASER,SCS_high,optimal,5.148906395,80050,2409601.3554726494,2409601.4,1002,2002,9462,0.002574081,5.146332314
QGROW15,SCS_high,time_limit,1000.0035510700001,17459325,-inf,-101693640.0,645,945,7227,0.003227831,1000.0003232390001
QSCFXM1,SCS_high,optimal,103.379697969,2650975,16882691.565787867,16882692.0,457,787,4456,0.002382462,103.377315507
STADAT1,SCS_high,time_limit,1000.00695834,4984875,-28422788.53453581,-28526864.0,2001,6000,13998,0.0064015389999999995,1000.000556801
QSCTAP1,SCS_high,optimal,0.077286381,2300,1415.8611111278226,1415.8611,480,780,2442,0.001690691,0.07559569000000001
QADLITTL,SCS_high,optimal,0.154623101,23875,480318.85906280694,480318.86,97,153,637,0.00046604299999999997,0.154157058
QSCRS8,SCS_high,optimal,192.052237878,2736800,904.5599306211049,904.56001,1169,1659,4560,0.003305011,192.048932867
HS268,SCS_high,optimal,0.0006682939999999999,675,1.8189894035458565e-12,5.7310705e-07,5,10,55,7.829e-05,0.000590004
LOTSCHD,SCS_high,optimal,0.000382732,225,2398.415891397315,2398.4159,12,19,72,9.016e-05,0.000292572
GENHS28,SCS_high,optimal,0.000136971,50,0.9271736937663898,0.92717369,10,18,62,7.284e-05,6.4131e-05
VALUES,SCS_high,optimal,0.017647611,1000,-1.3966211444810075,-1.3966211,202,203,7846,0.0010143370000000001,0.016633274
UBH1,SCS_high,optimal,174.164606361,107250,1.1160008037819729,1.1160008,18009,30009,72012,0.044347957,174.120258404
QSCORPIO,SCS_high,optimal,0.15204489899999998,5800,1880.5095520722414,1880.5096,358,746,1842,0.001342705,0.15070219399999998
