name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
HS35,QPALM,optimal,3.4871e-05,7,0.11111109400180652,0.11111111,3,4,13
QGFRDXPN,QPALM,optimal,0.113771675,249,100790588404.10092,100790590000.0,1092,1708,3739
QE226,QPALM,optimal,0.04115103,195,212.31870500863815,212.65343,282,505,4721
LISWET12,QPALM,optimal,0.082097575,16,24.995785670154874,1736.9274,10002,20002,50004
CVXQP3_M,QPALM,optimal,0.313845315,90,1362726.8552968334,1362828.7,1000,1750,10215
STCQP1,QPALM,optimal,0.207176598,44,155143.52487875626,155143.56,4097,6149,66544
QSCSD1,QPALM,optimal,0.025453536000000002,95,8.666616772605698,8.6666667,760,837,4584
LISWET10,QPALM,optimal,0.08173914900000001,16,24.998585386872037,49.485785,10002,20002,50004
HUES-MOD,QPALM,optimal,0.034947294999999996,16,34824451.653982595,34824690.0,10000,10002,40000
CVXQP2_M,QPALM,optimal,0.135680651,55,820154.0979438762,820155.43,1000,1250,8717
DUALC1,QPALM,optimal,0.001004156,23,6138.272441607489,6155.2508,9,224,2025
QSCTAP2,QPALM,optimal,0.14110458199999998,139,1735.0245587639813,1735.0265,1880,2970,10007
GOULDQP2,QPALM,optimal,0.007816251,24,0.00018562404861658256,0.00018427534,699,1048,2791
CVXQP1_S,QPALM,optimal,0.001937732,31,11590.744017048662,11590.718,100,150,920
QSCFXM3,QPALM,optimal,0.399872174,421,30815834.826897364,30816355.0,1371,2361,11501
STADAT3,QPALM,optimal,1.530003245,608,-35.779971664620085,-35.779453,4001,12000,27998
CONT-201,QPALM,optimal,135.344867179,250,-0.057466552108723166,0.19248337,40397,80595,249996
AUG3DQP,QPALM,optimal,0.064109793,28,675.2258302952358,675.23767,3873,4873,13092
EXDATA,QPALM,optimal,9.222836043000001,244,-141.84347474402114,-141.84343,3000,6001,2260500
QPCSTAIR,QPALM,optimal,0.042482872,149,6204298.860458333,6204387.5,467,823,4790
BOYD2,QPALM,optimal,190.802912523,3730,21.287598551034076,21.256767,93263,279794,517049
QBEACONF,QPALM,optimal,0.010868501,57,164702.63844468625,164712.06,262,435,3673
AUG2DCQP,QPALM,optimal,0.456250178,44,6497356.260801482,6498134.8,20200,30200,80400
PRIMAL4,QPALM,optimal,0.031297514,35,-0.7460885747804328,-0.74609083,1489,1564,19008
HS35MOD,QPALM,optimal,3.3791e-05,5,0.2500026530917534,0.25,3,4,13
HS76,QPALM,optimal,5.2791e-05,9,-4.681821495551718,-4.6818182,4,7,22
LISWET3,QPALM,optimal,0.08128284999999999,16,24.99726970739664,25.00122,10002,20002,50004
QSCTAP3,QPALM,optimal,0.200816722,132,1438.753365702864,1438.7547,2480,3960,13262
LASER,QPALM,optimal,0.030814425,60,2409595.581254639,2409601.4,1002,2002,9462
QGROW15,QPALM,optimal,0.1457433,378,-101693635.6417534,-101693640.0,645,945,7227
QSCFXM1,QPALM,optimal,0.087328271,272,16881595.912313066,16882692.0,457,787,4456
STADAT1,QPALM,optimal,1.374783171,1075,-28203488.87638271,-28526864.0,2001,6000,13998
QSCTAP1,QPALM,optimal,0.049100882,213,1415.8611249688247,1415.8611,480,780,2442
QADLITTL,QPALM,optimal,0.003893826,82,479719.9415602634,480318.86,97,153,637
QSCRS8,QPALM,optimal,0.153044081,287,890.3391153842382,904.56001,1169,1659,4560
HS268,QPALM,optimal,4.4380000000000005e-05,3,1.703030815355305,5.7310705e-07,5,10,55
LOTSCHD,QPALM,optimal,0.000194103,27,2398.4129008848417,2398.4159,12,19,72
GENHS28,QPALM,optimal,8.0562e-05,4,0.9280121966142266,0.92717369,10,18,62
VALUES,QPALM,optimal,0.003689632,32,-1.396613955168922,-1.3966211,202,203,7846
UBH1,QPALM,optimal,0.816731999,164,1.7240203385847064,1.1160008,18009,30009,72012
QSCORPIO,QPALM,optimal,0.01494138,69,1880.2710221288899,1880.5096,358,746,1842
QSCSD6,QPALM,optimal,0.094083765,140,50.78685923899687,50.808214,1350,1497,8378
LISWET5,QPALM,optimal,0.09598525699999999,16,25.030971440299254,25.034253,10002,20002,50004
QSTAIR,QPALM,optimal,0.109033235,297,7985450.568800856,7985452.8,467,823,6293
QSHIP04S,QPALM,optimal,0.177207586,317,2424982.2658283836,2424993.7,1458,1860,5908
LISWET2,QPALM,optimal,0.081925551,16,24.99398539945105,24.998076,10002,20002,50004
HS118,QPALM,optimal,0.000299905,29,664.7821521914074,664.82045,15,32,69
MOSARQP2,QPALM,optimal,0.007717488,19,-1597.482373473878,-1597.4821,900,1500,4820
GOULDQP3,QPALM,optimal,0.00778681,25,2.0625593016593484,2.062784,699,1048,3838
DUALC5,QPALM,optimal,0.00056116,6,390.55758107008944,427.23233,8,286,2296
ZECEVIC2,QPALM,optimal,3.4651000000000004e-05,5,-4.125000000185003,-4.125,2,4,7
QSHIP08L,QPALM,optimal,1.329844603,340,2375894.326496146,2376040.6,4283,5061,86075
QFORPLAN,QPALM,optimal,0.037564299,123,6605270151.091897,7456631500.0,421,582,6112
CONT-101,QPALM,optimal,5.153988925999999,118,0.09142314713717284,0.19552733,10197,20295,62496
AUG2DC,QPALM,optimal,0.13697894200000002,12,1817253.804553558,1818368.1,20200,30200,80400
LISWET6,QPALM,optimal,0.081146518,16,24.99186454917117,24.995748,10002,20002,50004
QPILOTNO,QPALM,optimal,1.194814673,443,4728445.559785026,4728586.9,2172,3147,16105
STADAT2,QPALM,optimal,0.508951685,441,-32.62682105047552,-32.626665,2001,6000,13998
BOYD1,QPALM,optimal,5.106684886,134,-61735189.118534006,-61735220.0,93261,93279,745507
PRIMALC5,QPALM,optimal,0.000838564,6,-427.399756470834,-427.23233,287,295,2869
QGROW22,QPALM,optimal,0.349247653,611,-149629040.911888,-149628950.0,946,1386,10837
PRIMAL3,QPALM,optimal,0.031693428999999995,37,-0.1357558245334193,-0.13575584,745,856,23036
CVXQP1_L,QPALM,optimal,189.45182401699998,131,108655197.91053198,108704800.0,10000,15000,94966
QPCBOEI1,QPALM,optimal,0.02207093,91,11500739.87548696,11503914.0,384,735,4253
QBORE3D,QPALM,optimal,0.008655373999999999,41,3111.8920970969984,3100.2008,315,548,1872
QCAPRI,QPALM,optimal,0.081243048,338,55062402.80145265,66793293.0,353,624,3852
CONT-300,QPALM,optimal,808.810958613,315,-0.10079429888254812,0.19151232,90597,180895,562496
QSC205,QPALM,optimal,0.00356606,31,-0.005894220583202172,-0.0058139518,203,408,785
CONT-050,QPALM,optimal,0.040478407,9,-4.563829158613716,-4.5638509,2597,4998,17199
S268,QPALM,optimal,4.3811e-05,3,1.703030815355305,5.7310705e-07,5,10,55
HS52,QPALM,optimal,3.848e-05,4,5.325725342336652,5.3266476,5,8,21
