name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,update_time
LISWET1,PIQP_high,optimal,0.14590830000000002,109,36.122397117700984,36.122402,10002,20002,50004,0.005612218,0.14029608200000002,0.0
QFFFFF80,PIQP_high,solver_error,0.056771845,39,873147.4605185583,873147.47,854,1378,10635,0.0022766600000000002,0.054495185,0.0
LISWET11,PIQP_high,optimal,0.14194068,106,49.52395660403681,49.523957,10002,20002,50004,0.005604167,0.13633651300000002,0.0
AUG3D,PIQP_high,optimal,0.007190425,2,554.0677257904158,554.06773,3873,4873,13092,0.002023315,0.00516711,0.0
PRIMAL2,PIQP_high,optimal,0.006491523000000001,7,-0.033733675953576465,-0.033733676,649,745,9339,0.002329531,0.004161992000000001,0.0
KSIP,PIQP_high,optimal,0.00806978,14,0.575797941240216,0.57579794,20,1021,19938,0.00053894,0.0075308400000000005,0.0
PRIMALC1,PIQP_high,optimal,0.001053228,15,-6155.250829265895,-6155.2508,230,239,2529,0.000203553,0.000849675,0.0
PRIMALC8,PIQP_high,optimal,0.0017323800000000002,12,-18309.42978818618,-18309.43,520,528,5199,0.000380647,0.0013517330000000001,0.0
QSHARE2B,PIQP_high,optimal,0.0008780050000000001,18,11703.69172152182,11703.692,79,175,873,0.000198693,0.0006793120000000001,0.0
MOSARQP1,PIQP_high,optimal,0.010349730000000001,11,-952.875443031211,-952.87544,2500,3200,8512,0.0017113100000000002,0.00863842,0.0
AUG2D,PIQP_high,optimal,0.075245534,4,1687411.7528958665,1687411.8,20200,30200,80000,0.009640177,0.065605357,0.0
HS53,PIQP_high,optimal,3.97e-05,7,4.093023255813954,4.0930233,5,8,21,1.8840000000000003e-05,2.086e-05,0.0
CVXQP2_S,PIQP_high,optimal,0.00063551,11,8120.940477324906,8120.9405,100,125,846,0.000196293,0.00043921700000000005,0.0
DTOC3,PIQP_high,optimal,0.017698657000000003,6,235.26248101366374,235.26248,14999,24997,64989,0.006952501000000001,0.010746156000000001,0.0
DPKLO1,PIQP_high,optimal,0.0007632940000000001,2,0.3700962171125292,0.37009622,133,210,1785,0.000289275,0.000474019,0.0
QSHELL,PIQP_high,optimal,0.18147364600000002,33,1572636843047.4993,1572636800000.0,1775,2311,74506,0.0052039700000000005,0.17626967600000001,0.0
CONT-200,PIQP_high,optimal,8.088573242,14,-4.68487592033195,-4.6848759,40397,79998,278799,0.062325821,8.026247421,0.0
CVXQP1_M,PIQP_high,optimal,0.091597297,13,1087511.5673238414,1087511.6,1000,1500,9466,0.002233538,0.089363759,0.0
POWELL20,PIQP_high,optimal,0.03743440000000001,25,52089582798.313095,52089583000.0,10000,20000,40000,0.0045176290000000004,0.032916771000000004,0.0
QRECIPE,PIQP_high,optimal,0.0012063210000000002,21,-266.61599997739165,-266.616,180,271,923,0.00021878400000000002,0.0009875370000000001,0.0
QSCFXM2,PIQP_high,optimal,0.016910873,27,27776161.580811787,27776162.0,914,1574,8285,0.0019163530000000002,0.01499452,0.0
QETAMACR,PIQP_high,optimal,0.104887249,26,86760.36962600706,86760.37,688,1088,11613,0.0015579670000000002,0.10332928200000001,0.0
HS35,PIQP_high,optimal,3.6761e-05,6,0.11111111215825709,0.11111111,3,4,13,1.7051e-05,1.9710000000000003e-05,0.0
QGFRDXPN,PIQP_high,optimal,0.0064469620000000005,21,100790584885.20926,100790590000.0,1092,1708,3739,0.0011157,0.005331262000000001,0.0
QE226,PIQP_high,optimal,0.006697806000000001,20,212.65343293691043,212.65343,282,505,4721,0.000810044,0.005887762,0.0
LISWET12,PIQP_high,optimal,0.182182748,135,1736.9274245529057,1736.9274,10002,20002,50004,0.0061263260000000005,0.17605642200000002,0.0
CVXQP3_M,PIQP_high,optimal,0.19800879300000002,13,1362828.741604457,1362828.7,1000,1750,10215,0.0027877490000000004,0.195221044,0.0
STCQP1,PIQP_high,optimal,0.137034795,9,155143.5547060714,155143.56,4097,6149,66544,0.006747337000000001,0.130287458,0.0
QSCSD1,PIQP_high,optimal,0.00289395,12,8.666666678467996,8.6666667,760,837,4584,0.000943576,0.0019503740000000002,0.0
LISWET10,PIQP_high,optimal,0.1891572,143,49.48578061918397,49.485785,10002,20002,50004,0.005523386,0.183633814,0.0
HUES-MOD,PIQP_high,optimal,0.016614328,16,34824463.8752794,34824690.0,10000,10002,40000,0.002358171,0.014256157,0.0
CVXQP2_M,PIQP_high,optimal,0.05113992700000001,12,820155.4310161476,820155.43,1000,1250,8717,0.00172184,0.049418087000000006,0.0
DUALC1,PIQP_high,optimal,0.0007056320000000001,11,6155.25082955339,6155.2508,9,224,2025,0.00016076300000000002,0.000544869,0.0
QSCTAP2,PIQP_high,optimal,0.013203399000000001,14,1735.0264986777204,1735.0265,1880,2970,10007,0.002118617,0.011084782000000001,0.0
GOULDQP2,PIQP_high,optimal,0.0022246490000000004,15,0.00018427450363802707,0.00018427534,699,1048,2791,0.00055196,0.0016726890000000002,0.0
CVXQP1_S,PIQP_high,optimal,0.000734632,10,11590.7181196518,11590.718,100,150,920,0.00022843400000000002,0.000506198,0.0
QSCFXM3,PIQP_high,optimal,0.025519322,27,30816354.47938166,30816355.0,1371,2361,11501,0.002694797,0.022824525000000002,0.0
STADAT3,PIQP_high,optimal,0.020436894,14,-35.7794529515603,-35.779453,4001,12000,27998,0.00576659,0.014670304,0.0
CONT-201,PIQP_high,optimal,10.421016834000001,18,0.19248337302816365,0.19248337,40397,80595,249996,0.063169405,10.357847429000001,0.0
AUG3DQP,PIQP_high,optimal,0.029055933000000003,12,675.2376721555715,675.23767,3873,4873,13092,0.0020020840000000003,0.027053849,0.0
EXDATA,PIQP_high,optimal,8.832197697000002,14,-141.84343215971242,-141.84343,3000,6001,2260500,0.07787983000000001,8.754317867000001,0.0
QPCSTAIR,PIQP_high,optimal,0.011270345000000001,22,6204387.476113511,6204387.5,467,823,4790,0.0010459380000000002,0.010224407000000001,0.0
BOYD2,PIQP_high,optimal,5.496285875,234,21.256767003752607,21.256767,93263,279794,517049,0.116029852,5.380256023,0.0
QBEACONF,PIQP_high,optimal,0.0048298640000000006,19,164712.06016246826,164712.06,262,435,3673,0.000830895,0.003998969000000001,0.0
AUG2DCQP,PIQP_high,optimal,0.20937859000000003,16,6498134.739473205,6498134.8,20200,30200,80400,0.010397430000000001,0.19898116000000002,0.0
PRIMAL4,PIQP_high,optimal,0.015677752,8,-0.7460908389984007,-0.74609083,1489,1564,19008,0.009640107,0.006037645,0.0
HS35MOD,PIQP_high,optimal,4.8321e-05,11,0.2500000023076083,0.25,3,4,13,1.821e-05,3.0111e-05,0.0
