name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
POWELL20,GUROBI,optimal,0.2771470546722412,57,52089582812.50088,52089583000.0,10000,20000,40000
QRECIPE,GUROBI,optimal,0.0020859241485595703,20,-266.6159998801486,-266.616,180,271,923
QSCFXM2,GUROBI,optimal,0.02785801887512207,29,27776161.578610756,27776162.0,914,1574,8285
QETAMACR,GUROBI,optimal,0.022351980209350586,23,86760.36962741242,86760.37,688,1088,11613
HS35,GUROBI,optimal,0.0005321502685546875,10,0.11111111111710414,0.11111111,3,4,13
QGFRDXPN,GUROBI,optimal,0.009574174880981445,23,100790584870.43997,100790590000.0,1092,1708,3739
QE226,GUROBI,optimal,0.00843191146850586,19,212.6534336682582,212.65343,282,505,4721
LISWET12,GUROBI,optimal inaccurate,0.5328328609466553,101,,1736.9274,10002,20002,50004
CVXQP3_M,GUROBI,optimal inaccurate,0.8772079944610596,55,,1362828.7,1000,1750,10215
STCQP1,GUROBI,optimal,0.012871026992797852,11,155143.5547039734,155143.56,4097,6149,66544
QSCSD1,GUROBI,optimal,0.005444049835205078,12,8.666666684269266,8.6666667,760,837,4584
LISWET10,GUROBI,optimal,0.20554900169372559,43,49.485794940426786,49.485785,10002,20002,50004
HUES-MOD,GUROBI,optimal,0.02009415626525879,14,34824463.87335745,34824690.0,10000,10002,40000
CVXQP2_M,GUROBI,optimal,0.05919599533081055,10,820155.4310183616,820155.43,1000,1250,8717
DUALC1,GUROBI,optimal,0.0010700225830078125,12,6155.250829463146,6155.2508,9,224,2025
QSCTAP2,GUROBI,optimal,0.018925189971923828,17,1735.026497889233,1735.0265,1880,2970,10007
GOULDQP2,GUROBI,optimal,0.008152008056640625,13,0.0001842749707031344,0.00018427534,699,1048,2791
CVXQP1_S,GUROBI,optimal,0.002646923065185547,9,11590.718119520903,11590.718,100,150,920
QSCFXM3,GUROBI,optimal,0.040205955505371094,31,30816354.47086678,30816355.0,1371,2361,11501
STADAT3,GUROBI,optimal,0.07723212242126465,18,-35.779452948809435,-35.779453,4001,12000,27998
CONT-201,GUROBI,optimal,1.3540492057800293,11,0.192483373029127,0.19248337,40397,80595,249996
AUG3DQP,GUROBI,optimal,0.032714128494262695,19,675.2376720155776,675.23767,3873,4873,13092
EXDATA,GUROBI,optimal,12.519279956817627,13,-141.8434323031761,-141.84343,3000,6001,2260500
QPCSTAIR,GUROBI,optimal,0.015835046768188477,23,6204387.476083438,6204387.5,467,823,4790
BOYD2,GUROBI,optimal,3.59653902053833,69,21.256767007328396,21.256767,93263,279794,517049
QBEACONF,GUROBI,optimal,0.00191497802734375,11,164712.06014970332,164712.06,262,435,3673
AUG2DCQP,GUROBI,optimal,0.1833949089050293,17,6498134.739537426,6498134.8,20200,30200,80400
PRIMAL4,GUROBI,optimal,0.015177011489868164,17,-0.7460908327582364,-0.74609083,1489,1564,19008
HS35MOD,GUROBI,optimal,0.0006499290466308594,14,0.2500000040007073,0.25,3,4,13
HS76,GUROBI,optimal,0.0005848407745361328,9,-4.681818181242496,-4.6818182,4,7,22
LISWET3,GUROBI,optimal,0.09259986877441406,17,25.001223665335033,25.00122,10002,20002,50004
QSCTAP3,GUROBI,optimal,0.028293132781982422,18,1438.7546815314083,1438.7547,2480,3960,13262
LASER,GUROBI,optimal,0.02307891845703125,14,2409601.3567901645,2409601.4,1002,2002,9462
QGROW15,GUROBI,optimal,0.011456012725830078,16,-101693640.46826594,-101693640.0,645,945,7227
QSCFXM1,GUROBI,optimal,0.012122869491577148,23,16882691.639307357,16882692.0,457,787,4456
STADAT1,GUROBI,optimal inaccurate,0.5098609924316406,286,,-28526864.0,2001,6000,13998
QSCTAP1,GUROBI,optimal,0.005554914474487305,16,1415.8611135075284,1415.8611,480,780,2442
QADLITTL,GUROBI,optimal,0.0018320083618164062,11,480318.8585452057,480318.86,97,153,637
QSCRS8,GUROBI,optimal,0.009327888488769531,23,904.56001511204,904.56001,1169,1659,4560
HS268,GUROBI,optimal,0.0006988048553466797,14,6.957634468562901e-09,5.7310705e-07,5,10,55
LOTSCHD,GUROBI,optimal,0.0006279945373535156,11,2398.4158914485715,2398.4159,12,19,72
GENHS28,GUROBI,optimal,0.0006520748138427734,2,0.9271736937663884,0.92717369,10,18,62
VALUES,GUROBI,solver_error,0.0012569427490234375,,,-1.3966211,202,203,7846
UBH1,GUROBI,optimal,0.027560949325561523,7,1.1160008156939512,1.1160008,18009,30009,72012
QSCORPIO,GUROBI,optimal,0.0026509761810302734,14,1880.5095530186984,1880.5096,358,746,1842
QSCSD6,GUROBI,optimal,0.011420011520385742,15,50.808213944589774,50.808214,1350,1497,8378
LISWET5,GUROBI,optimal,0.07886099815368652,14,25.03427469953931,25.034253,10002,20002,50004
QSTAIR,GUROBI,optimal,0.013621807098388672,18,7985452.75627772,7985452.8,467,823,6293
QSHIP04S,GUROBI,optimal,0.008412837982177734,17,2424993.6730051218,2424993.7,1458,1860,5908
LISWET2,GUROBI,optimal,0.08567094802856445,16,24.998078455947507,24.998076,10002,20002,50004
HS118,GUROBI,optimal,0.0006420612335205078,13,664.8204500026683,664.82045,15,32,69
MOSARQP2,GUROBI,optimal,0.014745950698852539,16,-1597.4821173826406,-1597.4821,900,1500,4820
GOULDQP3,GUROBI,optimal,0.009913921356201172,10,2.062784640722384,2.062784,699,1048,3838
DUALC5,GUROBI,optimal,0.0009698867797851562,10,427.2323267874851,427.23233,8,286,2296
ZECEVIC2,GUROBI,optimal,0.0004329681396484375,8,-4.124999999729198,-4.125,2,4,7
QSHIP08L,GUROBI,optimal,0.09204792976379395,15,2376040.6165575213,2376040.6,4283,5061,86075
QFORPLAN,GUROBI,optimal,0.012835979461669922,35,7456631460.807264,7456631500.0,421,582,6112
CONT-101,GUROBI,optimal,0.2364809513092041,11,0.1955273246810615,0.19552733,10197,20295,62496
AUG2DC,GUROBI,optimal,0.0448300838470459,2,1818368.065570203,1818368.1,20200,30200,80400
LISWET6,GUROBI,optimal,0.08270406723022461,15,24.995754264434254,24.995748,10002,20002,50004
QPILOTNO,GUROBI,optimal,0.06483316421508789,26,4728586.899007098,4728586.9,2172,3147,16105
STADAT2,GUROBI,optimal,0.03472590446472168,16,-32.62666486859314,-32.626665,2001,6000,13998
BOYD1,GUROBI,optimal,0.526310920715332,23,-61735219.640705265,-61735220.0,93261,93279,745507
PRIMALC5,GUROBI,optimal,0.0009751319885253906,11,-427.23232677596644,-427.23233,287,295,2869
QGROW22,GUROBI,optimal,0.018983840942382812,19,-149628953.4713645,-149628950.0,946,1386,10837
PRIMAL3,GUROBI,optimal,0.022148847579956055,19,-0.13575583421667214,-0.13575584,745,856,23036
CVXQP1_L,GUROBI,optimal inaccurate,48.123229026794434,51,,108704800.0,10000,15000,94966
QPCBOEI1,GUROBI,optimal,0.00995492935180664,23,11503914.009768238,11503914.0,384,735,4253
QBORE3D,GUROBI,optimal,0.0018801689147949219,11,3100.200801795192,3100.2008,315,548,1872
QCAPRI,GUROBI,optimal,0.013566970825195312,37,66793293.26641814,66793293.0,353,624,3852
CONT-300,GUROBI,optimal,3.7569570541381836,12,0.19151228589430547,0.19151232,90597,180895,562496
QSC205,GUROBI,optimal,0.0023691654205322266,18,-0.005813949803850133,-0.0058139518,203,408,785
CONT-050,GUROBI,optimal,0.05872797966003418,11,-4.56385090432271,-4.5638509,2597,4998,17199
S268,GUROBI,optimal,0.0005919933319091797,14,6.957634468562901e-09,5.7310705e-07,5,10,55
HS52,GUROBI,optimal,0.0005571842193603516,2,5.3266475644699565,5.3266476,5,8,21
